n_pop = 50	 Best Cost = 126070.8637: Risk Factor = 9.3405
n_pop = 100	 Best Cost = 52107.8835: Risk Factor = 3.6938
n_pop = 150	 Best Cost = 23434.9081: Risk Factor = 0.01962
n_pop = 200	 Best Cost = 23437.6793: Risk Factor = 0.018574
n_pop = 250	 Best Cost = 51728.7501: Risk Factor = 3.5394
n_pop = 500	 Best Cost = 23433.9769: Risk Factor = 0.017304
n_pop = 450	 Best Cost = 51709.9772: Risk Factor = 3.5395
n_pop = 400	 Best Cost = 23428.2957: Risk Factor = 0.019954
n_pop = 350	 Best Cost = 51729.6627: Risk Factor = 3.5395
n_pop = 250	 Best Cost = 51728.7501: Risk Factor = 3.5394
n_pop = 300	 Best Cost = 23432.2018: Risk Factor = 0.016227
n_pop = 300	 Best Cost = 9831.809: Risk Factor = 0.003363
n_pop = 300	 Best Cost = 9831.809: Risk Factor = 0.003363
n_pop = 300	 Best Cost = 9831.809: Risk Factor = 0.003363
n_pop = 300	 Best Cost = 10475.7804: Risk Factor = 0.0037826
n_pop = 300	 Best Cost = 23432.2018: Risk Factor = 0.016227
n_pop = 500	 Best Cost = 23433.9769: Risk Factor = 0.017304
n_pop = 500	 Best Cost = 9831.809: Risk Factor = 0.0033636
n_pop = 500	 Best Cost = 10475.7233: Risk Factor = 0.0036672
n_pop = 500	 Best Cost = 23433.9769: Risk Factor = 0.017304
